Div,Date,HomeTeam,AwayTeam,HomeElo,AwayElo,Form3Home,Form5Home,Form3Away,Form5Away,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
D1,2017-01-20,Freiburg,Bayern Munich,1660.65,2007.81,7.0,8.0,9.0,15.0,1.0,2.0,A,1.0,1.0,D,11.0,13.0,3.0,5.0,8.0,7.0,1.0,11.0,2.0,2.0,0.0,0.0,13.0,6.5,1.22
D1,2017-01-21,Augsburg,Hoffenheim,1667.02,1721.74,4.0,6.0,3.0,7.0,0.0,2.0,A,0.0,0.0,D,9.0,13.0,2.0,3.0,18.0,14.0,4.0,4.0,2.0,4.0,0.0,0.0,2.8,3.3,2.6
D1,2017-01-21,Darmstadt,MGladbach,1540.76,1710.69,0.0,0.0,3.0,4.0,0.0,0.0,D,0.0,0.0,D,8.0,14.0,2.0,4.0,12.0,16.0,4.0,6.0,1.0,1.0,0.0,0.0,4.0,3.6,1.91
D1,2017-01-21,RB Leipzig,Ein Frankfurt,1693.42,1713.9,3.0,9.0,4.0,8.0,3.0,0.0,H,2.0,0.0,H,17.0,4.0,7.0,3.0,8.0,15.0,3.0,3.0,1.0,2.0,0.0,1.0,1.62,3.8,6.0
D1,2017-01-21,Schalke 04,Ingolstadt,1728.67,1586.54,1.0,4.0,6.0,7.0,1.0,0.0,H,0.0,0.0,D,15.0,14.0,5.0,3.0,11.0,16.0,7.0,3.0,1.0,0.0,0.0,0.0,1.8,3.6,4.75
D1,2017-01-21,Werder Bremen,Dortmund,1643.56,1875.31,5.0,9.0,3.0,6.0,1.0,2.0,A,0.0,1.0,A,9.0,22.0,5.0,8.0,16.0,12.0,3.0,5.0,3.0,1.0,1.0,0.0,6.0,4.33,1.53
D1,2017-01-21,Wolfsburg,Hamburg,1698.01,1616.85,6.0,7.0,6.0,10.0,1.0,0.0,H,0.0,0.0,D,11.0,11.0,3.0,1.0,15.0,23.0,5.0,3.0,2.0,1.0,0.0,1.0,1.85,3.6,4.33
D1,2017-01-22,Leverkusen,Hertha,1784.06,1707.59,4.0,5.0,3.0,9.0,3.0,1.0,H,2.0,1.0,H,16.0,7.0,9.0,3.0,14.0,15.0,7.0,3.0,0.0,2.0,0.0,0.0,1.67,3.7,5.5
D1,2017-01-22,Mainz,FC Koln,1677.31,1710.89,3.0,3.0,3.0,4.0,0.0,0.0,D,0.0,0.0,D,12.0,9.0,5.0,3.0,12.0,10.0,5.0,5.0,1.0,1.0,0.0,0.0,2.4,3.3,3.0
D1,2017-01-27,Schalke 04,Ein Frankfurt,1728.67,1713.9,4.0,4.0,3.0,5.0,0.0,1.0,A,0.0,1.0,A,12.0,8.0,2.0,1.0,18.0,17.0,3.0,2.0,2.0,1.0,0.0,0.0,1.73,3.6,5.25
D1,2017-01-28,Darmstadt,FC Koln,1540.76,1710.89,1.0,1.0,3.0,4.0,1.0,6.0,A,0.0,3.0,A,10.0,14.0,4.0,7.0,24.0,20.0,3.0,4.0,2.0,4.0,0.0,0.0,3.6,3.3,2.15
D1,2017-01-28,Ingolstadt,Hamburg,1586.54,1616.85,3.0,6.0,3.0,9.0,3.0,1.0,H,2.0,0.0,H,15.0,11.0,7.0,3.0,13.0,18.0,1.0,6.0,0.0,2.0,0.0,0.0,2.2,3.2,3.6
D1,2017-01-28,Leverkusen,MGladbach,1784.06,1710.69,4.0,8.0,1.0,4.0,2.0,3.0,A,2.0,0.0,H,13.0,12.0,4.0,7.0,12.0,8.0,9.0,5.0,0.0,0.0,0.0,0.0,1.85,3.6,4.33
D1,2017-01-28,RB Leipzig,Hoffenheim,1693.42,1721.74,6.0,9.0,5.0,9.0,2.0,1.0,H,1.0,1.0,D,14.0,5.0,5.0,2.0,17.0,16.0,7.0,4.0,3.0,3.0,0.0,1.0,1.73,3.75,4.8
D1,2017-01-28,Werder Bremen,Bayern Munich,1643.56,2007.81,2.0,8.0,9.0,15.0,1.0,2.0,A,0.0,2.0,A,11.0,13.0,4.0,4.0,17.0,16.0,2.0,7.0,4.0,1.0,0.0,0.0,15.0,6.5,1.2
D1,2017-01-28,Wolfsburg,Augsburg,1698.01,1667.02,9.0,9.0,4.0,5.0,1.0,2.0,A,1.0,1.0,D,11.0,12.0,5.0,5.0,13.0,17.0,5.0,6.0,2.0,2.0,0.0,0.0,1.95,3.5,4.0
