Div,Date,HomeTeam,AwayTeam,HomeElo,AwayElo,Form3Home,Form5Home,Form3Away,Form5Away,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
I1,2017-01-07,Empoli,Palermo,1538.11,1496.08,4.0,4.0,4.0,4.0,1.0,0.0,H,0.0,0.0,D,6.0,13.0,2.0,4.0,13.0,17.0,6.0,2.0,1.0,3.0,0.0,0.0,2.05,3.3,3.8
I1,2017-01-07,Napoli,Sampdoria,1801.45,1570.72,7.0,11.0,1.0,5.0,2.0,1.0,H,0.0,1.0,A,23.0,9.0,9.0,2.0,15.0,16.0,9.0,3.0,1.0,0.0,0.0,1.0,1.29,5.5,10.0
I1,2017-01-08,Chievo,Atalanta,1607.91,1634.33,6.0,7.0,4.0,7.0,1.0,4.0,A,0.0,3.0,A,7.0,18.0,2.0,7.0,21.0,14.0,4.0,3.0,1.0,1.0,0.0,0.0,2.75,3.2,2.7
I1,2017-01-08,Genoa,Roma,1609.35,1788.64,3.0,4.0,6.0,12.0,0.0,1.0,A,0.0,1.0,A,10.0,16.0,4.0,3.0,12.0,13.0,2.0,8.0,2.0,4.0,0.0,0.0,3.8,3.6,1.95
I1,2017-01-08,Juventus,Bologna,1917.68,1545.92,9.0,12.0,4.0,7.0,3.0,0.0,H,2.0,0.0,H,12.0,7.0,4.0,2.0,11.0,13.0,6.0,2.0,1.0,2.0,0.0,0.0,1.18,7.0,17.0
I1,2017-01-08,Lazio,Crotone,1698.6,1450.91,6.0,9.0,3.0,4.0,1.0,0.0,H,0.0,0.0,D,22.0,2.0,5.0,1.0,15.0,11.0,14.0,0.0,2.0,2.0,0.0,0.0,1.29,5.25,12.0
I1,2017-01-08,Milan,Cagliari,1693.7,1536.12,4.0,8.0,3.0,7.0,1.0,0.0,H,0.0,0.0,D,29.0,7.0,4.0,1.0,6.0,12.0,11.0,3.0,0.0,1.0,0.0,1.0,1.4,4.75,8.0
I1,2017-01-08,Sassuolo,Torino,1597.31,1640.7,0.0,4.0,3.0,6.0,0.0,0.0,D,0.0,0.0,D,7.0,24.0,2.0,1.0,17.0,18.0,1.0,8.0,2.0,3.0,0.0,0.0,2.7,3.4,2.6
I1,2017-01-08,Udinese,Inter,1575.72,1678.82,7.0,10.0,9.0,12.0,1.0,2.0,A,1.0,1.0,D,12.0,9.0,3.0,4.0,19.0,12.0,3.0,7.0,3.0,2.0,0.0,0.0,3.75,3.5,2.0
I1,2017-01-14,Crotone,Bologna,1450.91,1545.92,3.0,4.0,4.0,4.0,0.0,1.0,A,0.0,0.0,D,17.0,14.0,6.0,7.0,14.0,14.0,6.0,5.0,2.0,4.0,0.0,0.0,3.0,3.0,2.6
I1,2017-01-14,Inter,Chievo,1678.82,1607.91,9.0,12.0,3.0,7.0,3.0,1.0,H,0.0,1.0,A,31.0,5.0,14.0,4.0,12.0,16.0,12.0,2.0,0.0,3.0,0.0,0.0,1.44,4.33,8.0
I1,2017-01-15,Cagliari,Genoa,1533.4,1603.79,3.0,4.0,0.0,3.0,4.0,1.0,H,2.0,1.0,H,19.0,12.0,12.0,4.0,8.0,13.0,3.0,14.0,3.0,2.0,1.0,0.0,2.8,3.4,2.5
I1,2017-01-15,Fiorentina,Juventus,1682.73,1919.23,1.0,7.0,9.0,12.0,2.0,1.0,H,1.0,0.0,H,17.0,11.0,6.0,4.0,22.0,20.0,3.0,7.0,3.0,5.0,0.0,0.0,4.75,3.4,1.83
I1,2017-01-15,Lazio,Atalanta,1700.3,1651.15,6.0,9.0,7.0,7.0,2.0,1.0,H,1.0,1.0,D,21.0,9.0,5.0,3.0,17.0,18.0,7.0,3.0,5.0,2.0,0.0,0.0,2.0,3.4,3.9
I1,2017-01-15,Napoli,Pescara,1803.28,1449.05,7.0,13.0,1.0,2.0,3.0,1.0,H,0.0,0.0,D,23.0,8.0,10.0,2.0,10.0,14.0,6.0,2.0,1.0,3.0,0.0,0.0,1.14,8.0,19.0
I1,2017-01-15,Sampdoria,Empoli,1568.89,1543.16,1.0,4.0,6.0,7.0,0.0,0.0,D,0.0,0.0,D,16.0,14.0,2.0,2.0,8.0,9.0,6.0,8.0,3.0,3.0,0.0,0.0,1.75,3.5,5.25
I1,2017-01-15,Sassuolo,Palermo,1596.06,1491.03,1.0,4.0,4.0,4.0,4.0,1.0,H,2.0,1.0,H,14.0,14.0,7.0,3.0,14.0,11.0,8.0,3.0,2.0,2.0,0.0,0.0,1.73,3.6,5.25
