Div,Date,HomeTeam,AwayTeam,HomeElo,AwayElo,Form3Home,Form5Home,Form3Away,Form5Away,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
T1,2017-01-13,Bursaspor,Trabzonspor,1504.43,1423.51,3.0,6.0,3.0,7.0,1.0,2.0,A,1.0,2.0,A,,,,,,,,,,,,,2.4,3.3,2.9
T1,2017-01-14,Alanyaspor,Rizespor,1402.34,1394.11,4.0,7.0,3.0,3.0,2.0,3.0,A,0.0,2.0,A,,,,,,,,,,,,,2.15,3.3,3.4
T1,2017-01-14,Buyuksehyr,Kayserispor,1619.19,1370.86,5.0,7.0,3.0,3.0,5.0,0.0,H,2.0,0.0,H,,,,,,,,,,,,,1.4,4.33,8.5
T1,2017-01-14,Karabukspor,Akhisar Belediyespor,1395.28,1465.49,1.0,4.0,4.0,10.0,1.0,0.0,H,0.0,0.0,D,,,,,,,,,,,,,2.3,3.1,3.3
T1,2017-01-14,Konyaspor,Galatasaray,1529.79,1598.3,4.0,8.0,7.0,13.0,0.0,1.0,A,0.0,0.0,D,,,,,,,,,,,,,2.63,3.25,2.63
T1,2017-01-15,Fenerbahce,Adanaspor,1694.69,1358.95,6.0,10.0,4.0,4.0,2.0,2.0,D,1.0,2.0,A,,,,,,,,,,,,,1.17,7.0,15.0
T1,2017-01-15,Gaziantepspor,Antalyaspor,1365.67,1474.92,0.0,0.0,6.0,10.0,0.0,3.0,A,0.0,2.0,A,,,,,,,,,,,,,3.25,3.2,2.25
T1,2017-01-15,Kasimpasa,Genclerbirligi,1465.65,1505.5,6.0,6.0,4.0,8.0,3.0,0.0,H,3.0,0.0,H,,,,,,,,,,,,,2.63,3.2,2.7
T1,2017-01-16,Osmanlispor,Besiktas,,1679.4,7.0,11.0,6.0,8.0,0.0,2.0,A,0.0,1.0,A,,,,,,,,,,,,,3.1,3.2,2.3
T1,2017-01-21,Akhisar Belediyespor,Kayserispor,1457.37,1366.56,4.0,7.0,3.0,3.0,0.0,0.0,D,0.0,0.0,D,,,,,,,,,,,,,1.91,3.4,4.0
T1,2017-01-21,Bursaspor,Adanaspor,1492.62,1358.95,3.0,6.0,5.0,5.0,0.0,1.0,A,0.0,0.0,D,,,,,,,,,,,,,1.55,4.33,5.25
T1,2017-01-21,Karabukspor,Galatasaray,1403.4,1606.39,4.0,4.0,7.0,13.0,2.0,1.0,H,1.0,1.0,D,,,,,,,,,,,,,3.75,3.4,2.0
T1,2017-01-21,Konyaspor,Rizespor,1521.7,1404.15,1.0,7.0,6.0,6.0,2.0,1.0,H,1.0,1.0,D,,,,,,,,,,,,,1.91,3.4,4.0
T1,2017-01-22,Fenerbahce,Buyuksehyr,1694.69,1623.49,7.0,8.0,7.0,9.0,1.0,0.0,H,1.0,0.0,H,,,,,,,,,,,,,1.95,3.5,3.75
T1,2017-01-22,Kasimpasa,Trabzonspor,1465.65,1435.32,6.0,9.0,3.0,9.0,0.0,1.0,A,0.0,1.0,A,,,,,,,,,,,,,2.8,3.3,2.45
