Div,Date,HomeTeam,AwayTeam,HomeElo,AwayElo,Form3Home,Form5Home,Form3Away,Form5Away,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
E0,2017-01-01,Arsenal,Crystal Palace,1871.21,1621.97,3.0,9.0,1.0,5.0,2.0,0.0,H,1.0,0.0,H,22.0,7.0,7.0,4.0,9.0,7.0,8.0,4.0,1.0,1.0,0.0,0.0,1.29,5.5,9.5
E0,2017-01-01,Watford,Tottenham,1628.69,1826.26,1.0,4.0,9.0,12.0,1.0,4.0,A,0.0,3.0,A,6.0,19.0,2.0,6.0,11.0,6.0,0.0,3.0,3.0,0.0,0.0,0.0,5.5,3.75,1.62
E0,2017-01-02,Everton,Southampton,1707.4,1714.78,4.0,7.0,3.0,7.0,3.0,0.0,H,0.0,0.0,D,17.0,12.0,6.0,3.0,5.0,14.0,10.0,8.0,0.0,1.0,0.0,0.0,2.2,3.4,3.6
E0,2017-01-02,Man City,Burnley,1849.76,1636.49,6.0,9.0,6.0,9.0,2.0,1.0,H,0.0,0.0,D,14.0,11.0,3.0,3.0,11.0,11.0,8.0,8.0,4.0,3.0,1.0,0.0,1.17,8.5,19.0
E0,2017-01-02,Middlesbrough,Leicester,1604.71,1731.6,3.0,3.0,4.0,7.0,0.0,0.0,D,0.0,0.0,D,9.0,10.0,1.0,4.0,10.0,9.0,2.0,2.0,3.0,0.0,0.0,0.0,2.75,3.2,2.88
E0,2017-01-02,Sunderland,Liverpool,1600.66,1846.62,3.0,3.0,9.0,13.0,2.0,2.0,D,1.0,1.0,D,10.0,21.0,5.0,15.0,10.0,10.0,2.0,5.0,2.0,3.0,0.0,0.0,11.0,5.5,1.33
E0,2017-01-02,West Brom,Hull,1675.0,1550.28,3.0,6.0,1.0,2.0,3.0,1.0,H,0.0,1.0,A,8.0,17.0,5.0,6.0,5.0,4.0,7.0,9.0,0.0,0.0,0.0,0.0,1.75,3.7,5.5
E0,2017-01-02,West Ham,Man United,1673.26,1807.3,6.0,10.0,9.0,15.0,0.0,2.0,A,0.0,0.0,D,8.0,13.0,2.0,6.0,9.0,13.0,2.0,1.0,1.0,2.0,1.0,0.0,6.0,4.0,1.65
E0,2017-01-03,Bournemouth,Arsenal,1639.61,1871.21,3.0,6.0,6.0,9.0,3.0,3.0,D,2.0,0.0,H,12.0,14.0,6.0,4.0,10.0,12.0,4.0,7.0,3.0,3.0,1.0,0.0,4.33,3.4,1.85
E0,2017-01-03,Crystal Palace,Swansea,1621.97,1594.86,1.0,2.0,0.0,3.0,1.0,2.0,A,0.0,1.0,A,7.0,11.0,3.0,4.0,13.0,14.0,4.0,5.0,2.0,1.0,0.0,0.0,1.75,3.5,4.75
E0,2017-01-03,Stoke,Watford,1663.59,1628.69,1.0,2.0,1.0,4.0,2.0,0.0,H,1.0,0.0,H,17.0,9.0,5.0,2.0,10.0,15.0,7.0,6.0,1.0,2.0,0.0,0.0,1.8,3.5,4.5
E0,2017-01-04,Tottenham,Chelsea,1826.26,1876.37,9.0,12.0,9.0,15.0,2.0,0.0,H,1.0,0.0,H,9.0,11.0,2.0,2.0,9.0,8.0,1.0,6.0,3.0,2.0,0.0,0.0,2.63,3.25,2.63
E0,2017-01-14,Burnley,Southampton,1636.49,1714.78,6.0,6.0,0.0,4.0,1.0,0.0,H,0.0,0.0,D,9.0,20.0,3.0,5.0,14.0,14.0,2.0,7.0,1.0,2.0,0.0,0.0,3.6,3.4,2.2
E0,2017-01-14,Hull,Bournemouth,1550.28,1639.61,1.0,1.0,4.0,7.0,3.0,1.0,H,1.0,1.0,D,14.0,8.0,3.0,6.0,13.0,11.0,4.0,5.0,0.0,1.0,0.0,0.0,3.3,3.5,2.3
E0,2017-01-14,Leicester,Chelsea,1731.6,1876.37,4.0,5.0,6.0,12.0,0.0,3.0,A,0.0,1.0,A,7.0,8.0,2.0,3.0,8.0,9.0,3.0,5.0,1.0,0.0,0.0,0.0,6.0,4.1,1.62
E0,2017-01-14,Sunderland,Stoke,1600.66,1663.59,1.0,4.0,3.0,5.0,1.0,3.0,A,1.0,3.0,A,14.0,14.0,3.0,6.0,16.0,11.0,5.0,2.0,3.0,1.0,0.0,0.0,3.1,3.3,2.5
E0,2017-01-14,Swansea,Arsenal,1594.86,1871.21,3.0,3.0,7.0,7.0,0.0,4.0,A,0.0,1.0,A,12.0,14.0,3.0,6.0,12.0,8.0,3.0,2.0,2.0,0.0,0.0,0.0,7.0,4.75,1.5
E0,2017-01-14,Tottenham,West Brom,1826.26,1675.0,9.0,15.0,6.0,9.0,4.0,0.0,H,2.0,0.0,H,21.0,3.0,11.0,0.0,11.0,12.0,8.0,0.0,0.0,2.0,0.0,0.0,1.33,5.5,11.0
E0,2017-01-14,Watford,Middlesbrough,1628.69,1604.71,1.0,1.0,1.0,4.0,0.0,0.0,D,0.0,0.0,D,12.0,5.0,5.0,1.0,15.0,15.0,3.0,1.0,3.0,1.0,0.0,0.0,2.5,3.2,3.2
E0,2017-01-14,West Ham,Crystal Palace,1673.26,1621.97,3.0,9.0,1.0,1.0,3.0,0.0,H,0.0,0.0,D,14.0,10.0,3.0,1.0,10.0,14.0,2.0,2.0,4.0,2.0,0.0,0.0,2.38,3.4,3.2
E0,2017-01-15,Everton,Man City,1719.02,1852.16,7.0,10.0,6.0,12.0,4.0,0.0,H,1.0,0.0,H,6.0,13.0,4.0,5.0,17.0,7.0,3.0,6.0,2.0,2.0,0.0,0.0,4.5,4.0,1.8
E0,2017-01-15,Man United,Liverpool,1815.99,1841.74,9.0,15.0,7.0,13.0,1.0,1.0,D,0.0,1.0,A,9.0,13.0,3.0,4.0,17.0,13.0,5.0,7.0,1.0,3.0,0.0,0.0,2.15,3.4,3.75
E0,2017-01-21,Bournemouth,Watford,1631.47,1610.99,4.0,4.0,1.0,2.0,2.0,2.0,D,0.0,1.0,A,15.0,10.0,5.0,3.0,6.0,16.0,9.0,4.0,1.0,1.0,0.0,0.0,1.83,3.75,4.75
E0,2017-01-21,Crystal Palace,Everton,1600.11,1719.02,0.0,1.0,7.0,10.0,0.0,1.0,A,0.0,0.0,D,8.0,16.0,2.0,8.0,10.0,15.0,8.0,7.0,0.0,1.0,0.0,0.0,3.25,3.4,2.38
E0,2017-01-21,Liverpool,Swansea,1841.74,1598.42,5.0,11.0,3.0,3.0,2.0,3.0,A,0.0,0.0,D,16.0,6.0,5.0,3.0,7.0,7.0,6.0,3.0,1.0,1.0,0.0,0.0,1.22,7.0,15.0
E0,2017-01-21,Man City,Tottenham,1852.16,1851.05,3.0,9.0,9.0,15.0,2.0,2.0,D,0.0,0.0,D,17.0,6.0,7.0,2.0,10.0,7.0,5.0,4.0,2.0,4.0,0.0,0.0,2.15,3.5,3.6
E0,2017-01-21,Middlesbrough,West Ham,1608.53,1673.5,2.0,5.0,3.0,9.0,1.0,3.0,A,1.0,2.0,A,11.0,13.0,2.0,5.0,7.0,14.0,7.0,5.0,2.0,1.0,0.0,0.0,2.5,3.2,3.25
