Div,Date,HomeTeam,AwayTeam,HomeElo,AwayElo,Form3Home,Form5Home,Form3Away,Form5Away,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
F1,2017-01-13,Lille,St Etienne,1612.99,1660.9,4.0,10.0,4.0,5.0,1.0,1.0,D,0.0,1.0,A,22.0,8.0,8.0,3.0,14.0,14.0,6.0,4.0,0.0,3.0,0.0,0.0,2.05,3.1,4.2
F1,2017-01-14,Angers,Bordeaux,1537.24,1591.76,0.0,1.0,1.0,2.0,1.0,1.0,D,1.0,1.0,D,7.0,9.0,3.0,0.0,15.0,16.0,2.0,3.0,4.0,3.0,0.0,0.0,2.8,3.0,2.75
F1,2017-01-14,Lorient,Guingamp,1521.94,1615.67,3.0,7.0,4.0,7.0,3.0,1.0,H,0.0,1.0,A,16.0,12.0,5.0,7.0,12.0,14.0,3.0,6.0,2.0,3.0,0.0,0.0,2.45,3.2,3.0
F1,2017-01-14,Montpellier,Dijon,1614.49,1535.98,3.0,6.0,3.0,5.0,1.0,1.0,D,0.0,1.0,A,24.0,6.0,3.0,2.0,8.0,12.0,14.0,5.0,0.0,0.0,0.0,0.0,1.8,3.5,4.75
F1,2017-01-14,Nancy,Bastia,1570.32,1569.39,5.0,8.0,6.0,7.0,1.0,0.0,H,0.0,0.0,D,15.0,11.0,4.0,2.0,10.0,13.0,6.0,5.0,2.0,0.0,0.0,1.0,1.95,3.1,4.75
F1,2017-01-14,Rennes,Paris SG,1598.43,1851.86,1.0,4.0,4.0,7.0,0.0,1.0,A,0.0,1.0,A,12.0,9.0,1.0,4.0,15.0,7.0,5.0,2.0,0.0,2.0,0.0,0.0,7.0,4.0,1.53
F1,2017-01-14,Toulouse,Nantes,1588.52,1541.21,4.0,7.0,6.0,7.0,0.0,1.0,A,0.0,1.0,A,15.0,8.0,4.0,1.0,11.0,17.0,7.0,3.0,1.0,3.0,0.0,0.0,2.05,3.1,4.1
F1,2017-01-15,Caen,Lyon,1553.32,1732.15,4.0,5.0,9.0,12.0,3.0,2.0,H,2.0,2.0,D,12.0,16.0,5.0,5.0,26.0,21.0,7.0,5.0,3.0,3.0,0.0,0.0,4.75,3.75,1.75
F1,2017-01-15,Marseille,Monaco,1657.53,1779.36,9.0,13.0,6.0,10.0,1.0,4.0,A,1.0,3.0,A,8.0,14.0,3.0,9.0,7.0,7.0,11.0,6.0,1.0,1.0,0.0,0.0,3.0,3.3,2.4
F1,2017-01-15,Nice,Metz,1712.95,1506.68,5.0,11.0,1.0,2.0,0.0,0.0,D,0.0,0.0,D,12.0,15.0,2.0,3.0,16.0,13.0,3.0,4.0,2.0,1.0,0.0,0.0,1.5,4.2,7.0
F1,2017-01-18,Nantes,Caen,1552.55,1553.32,9.0,9.0,6.0,7.0,1.0,0.0,H,0.0,0.0,D,16.0,9.0,6.0,3.0,12.0,9.0,5.0,4.0,2.0,2.0,0.0,0.0,2.0,3.4,4.0
F1,2017-01-20,Bastia,Nice,1563.03,1712.95,3.0,6.0,5.0,9.0,1.0,1.0,D,1.0,1.0,D,11.0,17.0,2.0,5.0,16.0,9.0,0.0,4.0,1.0,0.0,1.0,0.0,3.0,3.1,2.55
F1,2017-01-21,Bordeaux,Toulouse,1592.24,1577.18,2.0,2.0,1.0,4.0,1.0,0.0,H,1.0,0.0,H,22.0,8.0,10.0,6.0,18.0,16.0,6.0,4.0,2.0,1.0,0.0,1.0,2.1,3.25,3.8
F1,2017-01-21,Dijon,Lille,1540.04,1612.26,4.0,5.0,2.0,8.0,0.0,0.0,D,0.0,0.0,D,19.0,11.0,4.0,3.0,17.0,19.0,10.0,7.0,2.0,2.0,0.0,0.0,3.0,3.1,2.55
F1,2017-01-21,Guingamp,Rennes,1603.55,1594.66,4.0,7.0,1.0,4.0,1.0,1.0,D,1.0,0.0,H,15.0,7.0,4.0,3.0,11.0,16.0,4.0,1.0,2.0,2.0,0.0,1.0,2.3,3.1,3.4
F1,2017-01-21,Metz,Montpellier,1506.68,1610.43,2.0,2.0,4.0,7.0,2.0,0.0,H,2.0,0.0,H,6.0,15.0,4.0,4.0,18.0,10.0,4.0,8.0,1.0,2.0,0.0,0.0,3.1,3.2,2.4
F1,2017-01-21,Nantes,Paris SG,1552.55,1855.63,9.0,12.0,6.0,7.0,0.0,2.0,A,0.0,1.0,A,7.0,15.0,0.0,5.0,15.0,11.0,6.0,5.0,2.0,1.0,0.0,0.0,10.0,4.33,1.4
F1,2017-01-22,Lyon,Marseille,1732.15,1657.53,6.0,12.0,6.0,12.0,3.0,1.0,H,1.0,0.0,H,19.0,11.0,8.0,4.0,14.0,18.0,6.0,8.0,1.0,2.0,0.0,0.0,1.73,3.75,5.0
F1,2017-01-22,Monaco,Lorient,1779.36,1534.06,6.0,12.0,6.0,7.0,4.0,0.0,H,3.0,0.0,H,16.0,6.0,7.0,3.0,7.0,12.0,3.0,6.0,1.0,1.0,0.0,0.0,1.33,5.0,10.0
F1,2017-01-22,St Etienne,Angers,1661.63,1536.76,2.0,5.0,1.0,2.0,2.0,1.0,H,0.0,1.0,A,12.0,16.0,4.0,5.0,8.0,8.0,6.0,3.0,2.0,3.0,0.0,0.0,1.85,3.4,4.75
F1,2017-01-27,Marseille,Montpellier,1657.53,1610.43,3.0,9.0,1.0,4.0,5.0,1.0,H,3.0,0.0,H,17.0,19.0,9.0,9.0,12.0,7.0,7.0,5.0,1.0,1.0,0.0,1.0,1.67,3.75,5.5
F1,2017-01-28,Angers,Metz,1536.76,1506.68,1.0,1.0,5.0,5.0,2.0,1.0,H,2.0,1.0,H,19.0,3.0,10.0,0.0,9.0,8.0,10.0,1.0,0.0,0.0,0.0,2.0,2.0,3.2,4.2
F1,2017-01-28,Bastia,Caen,1563.03,1553.32,1.0,7.0,3.0,7.0,1.0,1.0,D,1.0,1.0,D,11.0,18.0,3.0,5.0,11.0,14.0,4.0,9.0,2.0,2.0,0.0,0.0,2.25,3.1,3.5
F1,2017-01-28,Lorient,Dijon,1534.06,1540.04,3.0,6.0,5.0,5.0,2.0,3.0,A,0.0,1.0,A,15.0,5.0,6.0,4.0,13.0,11.0,2.0,2.0,4.0,3.0,0.0,0.0,2.05,3.5,3.6
F1,2017-01-28,Lyon,Lille,1732.15,1612.26,6.0,12.0,3.0,6.0,1.0,2.0,A,0.0,1.0,A,13.0,9.0,6.0,4.0,18.0,15.0,4.0,1.0,1.0,3.0,0.0,0.0,1.45,4.33,7.5
F1,2017-01-28,Nancy,Bordeaux,1576.68,1592.24,5.0,8.0,5.0,5.0,0.0,2.0,A,0.0,0.0,D,11.0,9.0,1.0,3.0,11.0,9.0,6.0,8.0,0.0,2.0,0.0,0.0,2.63,3.0,3.0
F1,2017-01-28,Rennes,Nantes,1594.66,1552.55,2.0,2.0,6.0,12.0,1.0,1.0,D,0.0,1.0,A,7.0,10.0,1.0,3.0,10.0,15.0,3.0,2.0,3.0,1.0,0.0,0.0,2.2,3.1,3.6
F1,2017-01-29,Nice,Guingamp,1712.95,1603.55,3.0,7.0,2.0,5.0,3.0,1.0,H,2.0,0.0,H,9.0,13.0,4.0,4.0,14.0,21.0,3.0,7.0,3.0,3.0,0.0,0.0,1.95,3.4,4.2
F1,2017-01-29,Paris SG,Monaco,1855.63,1779.36,9.0,10.0,9.0,12.0,1.0,1.0,D,0.0,0.0,D,11.0,14.0,4.0,7.0,13.0,11.0,4.0,13.0,0.0,1.0,0.0,0.0,1.67,4.0,5.0
F1,2017-01-29,Toulouse,St Etienne,1577.18,1661.63,0.0,4.0,5.0,8.0,0.0,3.0,A,0.0,1.0,A,13.0,20.0,3.0,6.0,17.0,21.0,3.0,3.0,2.0,4.0,1.0,0.0,2.3,3.0,3.6
F1,2017-02-03,Metz,Marseille,1519.46,1650.08,4.0,5.0,3.0,9.0,1.0,0.0,H,0.0,0.0,D,9.0,11.0,3.0,2.0,12.0,15.0,0.0,7.0,1.0,3.0,0.0,0.0,4.33,3.6,1.85
F1,2017-02-04,Bordeaux,Rennes,1611.47,1593.77,7.0,8.0,2.0,3.0,1.0,1.0,D,0.0,0.0,D,9.0,17.0,2.0,5.0,11.0,8.0,1.0,7.0,1.0,1.0,0.0,0.0,1.91,3.4,4.33
F1,2017-02-04,Dijon,Paris SG,1549.48,1856.37,5.0,8.0,7.0,10.0,1.0,3.0,A,1.0,1.0,D,7.0,21.0,1.0,8.0,12.0,5.0,2.0,9.0,1.0,2.0,0.0,0.0,11.0,5.5,1.3
F1,2017-02-04,Guingamp,Caen,1595.52,1559.59,1.0,5.0,4.0,7.0,0.0,1.0,A,0.0,0.0,D,13.0,10.0,4.0,2.0,11.0,13.0,9.0,1.0,1.0,2.0,0.0,0.0,1.95,3.5,4.0
F1,2017-02-04,Lille,Lorient,1624.9,1521.28,5.0,6.0,3.0,6.0,0.0,1.0,A,0.0,0.0,D,15.0,12.0,3.0,5.0,16.0,17.0,5.0,3.0,1.0,1.0,0.0,0.0,1.73,3.8,4.75
F1,2017-02-04,Monaco,Nice,1798.02,1710.06,7.0,10.0,5.0,9.0,3.0,0.0,H,0.0,0.0,D,14.0,11.0,7.0,1.0,21.0,11.0,4.0,4.0,1.0,1.0,0.0,0.0,1.53,4.0,6.5
F1,2017-02-04,Montpellier,Bastia,1587.58,1562.8,1.0,4.0,2.0,5.0,2.0,1.0,H,1.0,1.0,D,13.0,15.0,5.0,2.0,10.0,17.0,2.0,4.0,3.0,1.0,0.0,1.0,1.8,3.6,4.5
F1,2017-02-05,Nantes,Nancy,1557.89,1563.36,4.0,10.0,4.0,8.0,0.0,2.0,A,0.0,0.0,D,14.0,8.0,3.0,3.0,14.0,12.0,9.0,5.0,2.0,1.0,1.0,1.0,2.05,3.1,4.2
F1,2017-02-05,St Etienne,Lyon,1678.62,1715.27,7.0,8.0,3.0,9.0,2.0,0.0,H,2.0,0.0,H,13.0,12.0,6.0,4.0,17.0,19.0,8.0,3.0,2.0,2.0,1.0,2.0,3.6,3.4,2.1
F1,2017-02-05,Toulouse,Angers,1558.09,1539.1,0.0,1.0,4.0,4.0,4.0,0.0,H,0.0,0.0,D,15.0,12.0,8.0,3.0,16.0,12.0,4.0,5.0,2.0,4.0,0.0,0.0,2.1,3.2,3.8
F1,2017-02-07,Caen,Bordeaux,1559.59,1611.47,4.0,7.0,7.0,9.0,0.0,4.0,A,0.0,2.0,A,4.0,13.0,1.0,4.0,18.0,8.0,3.0,2.0,1.0,1.0,0.0,0.0,2.5,3.2,3.0
F1,2017-02-07,Montpellier,Monaco,1587.58,1798.02,3.0,4.0,7.0,13.0,1.0,2.0,A,0.0,2.0,A,11.0,11.0,2.0,5.0,15.0,13.0,6.0,3.0,1.0,1.0,0.0,1.0,4.6,3.8,1.75
F1,2017-02-07,Paris SG,Lille,1856.37,1624.9,7.0,13.0,4.0,6.0,2.0,1.0,H,0.0,0.0,D,20.0,4.0,7.0,3.0,9.0,11.0,9.0,1.0,1.0,3.0,0.0,0.0,1.2,6.5,15.0
F1,2017-02-08,Angers,Rennes,1539.1,1593.77,3.0,4.0,3.0,4.0,0.0,0.0,D,0.0,0.0,D,12.0,9.0,2.0,3.0,20.0,12.0,6.0,9.0,2.0,1.0,0.0,1.0,2.5,3.0,3.2
F1,2017-02-08,Lorient,Toulouse,1521.28,1558.09,3.0,6.0,3.0,3.0,1.0,1.0,D,0.0,1.0,A,10.0,12.0,5.0,4.0,7.0,9.0,9.0,4.0,2.0,2.0,0.0,0.0,2.3,3.2,3.3
F1,2017-02-08,Lyon,Nancy,1715.27,1563.36,3.0,6.0,6.0,8.0,4.0,0.0,H,2.0,0.0,H,18.0,7.0,6.0,2.0,15.0,6.0,8.0,3.0,1.0,1.0,0.0,0.0,1.4,4.75,8.0
F1,2017-02-08,Marseille,Guingamp,1650.08,1595.52,3.0,6.0,1.0,2.0,2.0,0.0,H,1.0,0.0,H,20.0,6.0,5.0,1.0,18.0,6.0,4.0,4.0,2.0,1.0,0.0,0.0,1.7,3.75,5.25
F1,2017-02-08,Metz,Dijon,1519.46,1549.48,6.0,8.0,4.0,8.0,2.0,1.0,H,0.0,0.0,D,13.0,12.0,3.0,5.0,14.0,11.0,3.0,1.0,1.0,2.0,0.0,1.0,2.5,3.2,3.0
F1,2017-02-08,Nice,St Etienne,1710.06,1678.62,4.0,6.0,9.0,11.0,1.0,0.0,H,1.0,0.0,H,14.0,10.0,5.0,2.0,7.0,16.0,2.0,6.0,1.0,3.0,0.0,0.0,2.05,3.4,3.8
F1,2017-02-10,Bordeaux,Paris SG,1611.47,1856.37,7.0,11.0,7.0,13.0,0.0,3.0,A,0.0,2.0,A,14.0,8.0,4.0,5.0,8.0,7.0,3.0,2.0,0.0,1.0,0.0,0.0,5.5,4.0,1.62
F1,2017-02-11,Dijon,Caen,1549.48,1559.59,3.0,5.0,4.0,7.0,2.0,0.0,H,1.0,0.0,H,8.0,11.0,3.0,5.0,17.0,13.0,2.0,5.0,1.0,0.0,0.0,0.0,2.38,3.3,3.1
F1,2017-02-11,Guingamp,Lyon,1595.52,1715.27,0.0,1.0,3.0,6.0,2.0,1.0,H,2.0,1.0,H,7.0,14.0,2.0,5.0,19.0,13.0,1.0,11.0,2.0,2.0,0.0,0.0,3.7,3.6,2.0
F1,2017-02-11,Lille,Angers,1624.9,1539.1,3.0,5.0,4.0,5.0,1.0,2.0,A,1.0,1.0,D,16.0,14.0,3.0,5.0,14.0,14.0,4.0,3.0,1.0,2.0,1.0,0.0,1.91,3.2,4.75
F1,2017-02-11,Monaco,Metz,1798.02,1519.46,7.0,13.0,6.0,10.0,5.0,0.0,H,3.0,0.0,H,26.0,5.0,13.0,1.0,7.0,11.0,8.0,3.0,1.0,3.0,0.0,0.0,1.22,6.5,13.0
