Div,Date,HomeTeam,AwayTeam,HomeElo,AwayElo,Form3Home,Form5Home,Form3Away,Form5Away,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
SP1,2017-01-06,Espanol,La Coruna,1704.27,1667.82,4.0,10.0,6.0,6.0,1.0,1.0,D,0.0,0.0,D,14.0,13.0,4.0,3.0,13.0,14.0,2.0,8.0,1.0,1.0,0.0,1.0,2.05,3.3,3.8
SP1,2017-01-07,Eibar,Ath Madrid,1672.66,1935.48,2.0,8.0,4.0,7.0,0.0,2.0,A,0.0,0.0,D,15.0,8.0,2.0,4.0,11.0,10.0,5.0,3.0,2.0,2.0,0.0,0.0,5.5,3.5,1.73
SP1,2017-01-07,Las Palmas,Sp Gijon,1697.55,1633.02,2.0,5.0,3.0,3.0,1.0,0.0,H,0.0,0.0,D,16.0,10.0,10.0,2.0,8.0,18.0,8.0,3.0,2.0,3.0,0.0,0.0,1.67,3.75,5.5
SP1,2017-01-07,Real Madrid,Granada,2050.4,1621.42,7.0,13.0,4.0,5.0,5.0,0.0,H,4.0,0.0,H,23.0,3.0,13.0,1.0,11.0,12.0,9.0,1.0,1.0,4.0,0.0,0.0,1.07,13.0,26.0
SP1,2017-01-07,Sociedad,Sevilla,1773.53,1833.13,6.0,10.0,6.0,12.0,0.0,4.0,A,0.0,2.0,A,11.0,11.0,5.0,10.0,15.0,18.0,7.0,4.0,2.0,3.0,0.0,0.0,2.25,3.4,3.2
SP1,2017-01-08,Ath Bilbao,Alaves,1778.67,1646.58,6.0,9.0,5.0,8.0,0.0,0.0,D,0.0,0.0,D,15.0,10.0,4.0,4.0,10.0,13.0,13.0,4.0,2.0,4.0,0.0,0.0,1.53,3.8,7.5
SP1,2017-01-08,Betis,Leganes,1674.24,1620.41,4.0,7.0,3.0,6.0,2.0,0.0,H,0.0,0.0,D,16.0,9.0,3.0,3.0,10.0,20.0,4.0,2.0,2.0,6.0,0.0,0.0,2.1,3.25,3.75
SP1,2017-01-08,Celta,Malaga,1727.08,1724.19,1.0,4.0,2.0,6.0,3.0,1.0,H,1.0,0.0,H,6.0,13.0,3.0,4.0,17.0,15.0,2.0,7.0,1.0,4.0,0.0,0.0,1.85,3.6,4.33
SP1,2017-01-08,Villarreal,Barcelona,1775.23,2017.79,7.0,7.0,7.0,9.0,1.0,1.0,D,0.0,0.0,D,6.0,20.0,3.0,7.0,16.0,13.0,2.0,4.0,1.0,2.0,1.0,0.0,6.0,4.33,1.53
SP1,2017-01-09,Osasuna,Valencia,1564.89,1690.84,0.0,0.0,1.0,2.0,3.0,3.0,D,1.0,2.0,A,22.0,7.0,4.0,3.0,19.0,13.0,7.0,3.0,2.0,5.0,0.0,0.0,4.0,3.5,1.95
SP1,2017-01-14,Ath Madrid,Betis,1935.48,1674.24,6.0,10.0,6.0,7.0,1.0,0.0,H,1.0,0.0,H,6.0,10.0,3.0,6.0,15.0,17.0,9.0,2.0,1.0,3.0,0.0,0.0,1.2,6.5,17.0
SP1,2017-01-14,Barcelona,Las Palmas,2017.79,1697.55,7.0,9.0,4.0,8.0,5.0,0.0,H,1.0,0.0,H,22.0,7.0,10.0,1.0,15.0,11.0,5.0,1.0,3.0,4.0,0.0,0.0,1.1,11.0,26.0
SP1,2017-01-14,La Coruna,Villarreal,1667.82,1775.23,4.0,7.0,7.0,8.0,0.0,0.0,D,0.0,0.0,D,13.0,4.0,3.0,1.0,14.0,8.0,10.0,0.0,0.0,1.0,0.0,0.0,2.7,3.1,2.8
SP1,2017-01-14,Leganes,Ath Bilbao,1620.41,1778.67,2.0,3.0,4.0,7.0,0.0,0.0,D,0.0,0.0,D,15.0,10.0,5.0,2.0,20.0,11.0,4.0,8.0,3.0,3.0,0.0,0.0,3.25,3.1,2.38
SP1,2017-01-15,Celta,Alaves,1735.0,1652.33,3.0,7.0,5.0,9.0,1.0,0.0,H,0.0,0.0,D,13.0,9.0,4.0,1.0,19.0,10.0,7.0,4.0,4.0,3.0,0.0,1.0,1.7,3.75,5.25
SP1,2017-01-15,Granada,Osasuna,1620.22,1565.8,1.0,4.0,1.0,1.0,1.0,1.0,D,0.0,1.0,A,8.0,13.0,4.0,3.0,13.0,23.0,3.0,5.0,2.0,4.0,2.0,0.0,2.05,3.4,3.8
SP1,2017-01-15,Sevilla,Real Madrid,1850.85,2051.6,9.0,12.0,7.0,13.0,2.0,1.0,H,0.0,0.0,D,9.0,10.0,4.0,3.0,13.0,10.0,6.0,1.0,3.0,1.0,0.0,0.0,3.6,3.8,1.95
SP1,2017-01-15,Sp Gijon,Eibar,1628.8,1666.71,0.0,3.0,2.0,5.0,2.0,3.0,A,1.0,3.0,A,10.0,18.0,4.0,7.0,13.0,16.0,2.0,4.0,4.0,0.0,0.0,0.0,2.9,3.1,2.6
SP1,2017-01-15,Valencia,Espanol,1689.94,1700.63,2.0,3.0,4.0,8.0,2.0,1.0,H,1.0,0.0,H,10.0,6.0,5.0,3.0,17.0,13.0,6.0,3.0,5.0,0.0,0.0,0.0,1.91,3.6,4.0
SP1,2017-01-16,Malaga,Sociedad,1716.28,1755.81,1.0,5.0,6.0,7.0,0.0,2.0,A,0.0,0.0,D,5.0,11.0,1.0,5.0,22.0,12.0,8.0,8.0,0.0,2.0,0.0,0.0,2.4,3.3,3.0
SP1,2017-01-20,Las Palmas,La Coruna,1699.3,1671.89,3.0,5.0,5.0,8.0,1.0,1.0,D,1.0,0.0,H,9.0,7.0,3.0,1.0,13.0,8.0,4.0,5.0,0.0,1.0,1.0,0.0,2.25,3.3,3.3
SP1,2017-01-21,Alaves,Leganes,1652.33,1615.81,4.0,6.0,2.0,4.0,2.0,2.0,D,1.0,1.0,D,8.0,13.0,3.0,4.0,9.0,20.0,4.0,3.0,3.0,2.0,0.0,0.0,2.2,3.1,3.6
SP1,2017-01-21,Espanol,Granada,1700.63,1620.22,1.0,5.0,1.0,5.0,3.0,1.0,H,2.0,1.0,H,17.0,7.0,8.0,4.0,19.0,17.0,10.0,5.0,0.0,3.0,0.0,0.0,1.57,4.0,6.0
