Date,HomeTeam,AwayTeam,HxG,AxG,xG_diff
2025-05-23,Betis,Valencia,1.61,1.25,0.36
2025-05-23,Como,Inter,1.3,2.01,-0.71
2025-05-23,Napoli,Cagliari,1.48,1.31,0.17
2025-05-24,Getafe,Celta de Vigo,1.11,1.54,-0.43
2025-05-24,Milan,Monza,1.82,0.85,0.97
2025-05-24,Bologna,Genoa,1.53,1.05,0.48
2025-05-24,Vallecano,Mallorca,1.29,1.18,0.11
2025-05-24,Alaves,Osasuna,1.21,1.29,-0.08
2025-05-24,Espanol,Las Palmas,1.0,1.04,-0.04
2025-05-24,Real Madrid,Sociedad,2.31,1.26,1.05
2025-05-24,Leganes,Real Valladolid,1.0,0.96,0.04
2025-05-25,Liverpool,Crystal Palace,2.47,1.79,0.68
2025-05-25,Southampton,Arsenal,1.03,1.92,-0.89
2025-05-25,Lazio,Lecce,1.72,0.98,0.74
2025-05-25,Udinese,Fiorentina,1.16,1.38,-0.22
2025-05-25,Venezia,Juventus,1.1,1.53,-0.43
2025-05-25,Atalanta,Parma,2.11,1.22,0.89
2025-05-25,Bournemouth,Leicester,1.89,1.02,0.87
2025-05-25,Villarreal,Sevilla,1.97,1.17,0.8
2025-05-25,Fulham,Man City,1.51,1.91,-0.4
2025-05-25,Torino,Roma,1.0,1.61,-0.61
2025-05-25,Ipswich,West Ham,1.07,1.34,-0.27
2025-05-25,Newcastle,Everton,1.9,1.24,0.66
2025-05-25,Wolves,Brentford,1.2,1.76,-0.56
2025-05-25,Empoli,Verona,1.0,0.99,0.01
2025-05-25,Nottm Forest,Chelsea,1.38,1.94,-0.56
2025-05-25,Girona,Ath Madrid,1.25,1.87,-0.62
2025-05-25,Tottenham,Brighton,1.72,1.68,0.04
2025-05-25,Man United,Aston Villa,1.46,1.79,-0.33
2025-05-25,Ath Bilbao,Barcelona,1.59,2.6,-1.01
